Date,AAPL,MSFT,WMT,AAL,LDOS,INTU,HIG,SWKS,FAST,CERN,NDAQ,RHI,ETR,AOS,VNO,CPT,HPE,EFX,AVGO,DLTR
2021-01-29,130.7924346923828,229.0237274169922,137.2591094970703,17.170000076293945,104.16622924804688,358.92205810546875,46.427040100097656,165.60140991210938,44.12933349609375,78.94255065917969,133.2238006591797,65.86714172363281,90.2244644165039,53.21432876586914,37.833274841308594,99.7195816040039,11.954361915588379,175.61471557617188,443.53399658203125,101.66000366210938
2021-02-26,120.36670684814453,229.9668426513672,126.93216705322266,20.940000534057617,86.87065887451172,387.64739990234375,49.34127426147461,174.4487762451172,45.15672302246094,68.13243103027344,136.19810485839844,76.25823974609375,82.98184967041016,58.182960510253906,40.85917663574219,101.67200469970703,14.104986190795898,160.8666534423828,462.6044616699219,98.19999694824219
2021-03-31,121.2501449584961,233.32164001464844,133.2603302001953,23.899999618530273,94.9018325805664,380.61260986328125,65.01289367675781,180.00144958496094,48.964412689208984,70.83248901367188,145.723388671875,76.53272247314453,95.08357238769531,66.2582015991211,43.19045639038086,108.1011734008789,15.372668266296387,179.9961395263672,460.05877685546875,114.45999908447266
2021-04-30,130.49154663085938,249.56121826171875,137.26316833496094,21.719999313354492,99.83026885986328,410.11492919921875,64.2049789428711,177.89222717285156,51.189048767089844,74.18009948730469,159.63755798339844,85.88487243652344,104.47052764892578,66.65586853027344,43.53301239013672,118.49722290039062,15.646133422851562,227.79502868652344,452.65673828125,114.9000015258789
2021-05-31,123.9021224975586,247.65773010253906,139.89028930664062,24.239999771118164,101.27922058105469,436.9112854003906,63.95158004760742,167.28256225585938,51.933189392089844,77.34300231933594,165.48785400390625,87.4190902709961,101.50200653076172,69.92224884033203,45.50386047363281,123.31657409667969,15.587533950805664,233.95343017578125,468.6614074707031,97.5
2021-06-30,136.18199157714844,268.7058410644531,138.89549255371094,21.209999084472656,99.97084045410156,487.73785400390625,60.64391326904297,188.6848907470703,50.91489028930664,77.47178649902344,174.2861328125,87.5963134765625,96.1405029296875,70.89625549316406,44.91677474975586,131.29515075683594,14.349275588989258,238.40277099609375,476.8399963378906,99.5
2021-07-30,145.03140258789062,282.6024169921875,140.40245056152344,20.3799991607666,105.2314224243164,527.9558715820312,62.25860595703125,181.56063842773438,53.90331268310547,79.68214416503906,185.12200927734375,96.69364166259766,99.24554443359375,69.45440673828125,41.86586380004883,147.8418731689453,14.270541191101074,259.3952941894531,485.3999938964844,99.79000091552734
2021-08-31,151.1936798095703,300.0082092285156,146.40560913085938,19.940000534057617,97.01422882080078,563.9585571289062,66.12696075439453,181.08035278320312,54.966224670410156,75.67771911621094,194.09408569335938,102.18345642089844,107.6016616821289,71.81464385986328,40.81547546386719,148.48513793945312,15.215350151062012,271.0013732910156,497.2099914550781,90.54000091552734
2021-09-30,140.906982421875,280.1719665527344,137.78536987304688,20.520000457763672,95.40596008300781,537.4595947265625,69.1076889038086,162.6426544189453,50.79331970214844,70.10984802246094,191.88002014160156,99.14957427978516,96.60899353027344,60.309688568115234,40.942169189453125,146.764404296875,14.140244483947754,252.60293579101562,484.92999267578125,95.72000122070312
2021-10-29,149.17218017578125,329.56378173828125,147.71051025390625,19.200000762939453,99.22696685791016,624.4051513671875,71.74410247802734,164.962158203125,56.458805084228516,73.85792541503906,208.6304931640625,111.73967742919922,100.21808624267578,72.47613525390625,41.546409606933594,162.3196258544922,14.537162780761719,276.5354919433594,531.6699829101562,107.76000213623047
2021-11-30,164.84747314453125,329.1412353515625,139.02108764648438,17.690000534057617,87.24787139892578,650.6485595703125,65.39210510253906,150.21627807617188,58.52605438232422,70.0402603149414,202.02972412109375,110.21700286865234,98.57637786865234,78.40753936767578,39.600868225097656,164.41952514648438,14.239474296569824,278.13739013671875,553.6799926757812,133.8300018310547
2021-12-31,177.08387756347656,334.8461608886719,143.61053466796875,17.959999084472656,88.58614349365234,641.5914916992188,68.30062866210938,153.66314697265625,63.36283493041992,92.60224914550781,209.33763122558594,110.56400299072266,110.6700210571289,85.15226745605469,41.297767639160156,178.67999267578125,15.770000457763672,292.2513732910156,665.4099731445312,140.52000427246094
2022-01-31,174.30149841308594,309.6171875,138.7669219970703,16.469999313354492,89.13420104980469,554.46728515625,71.1003189086914,145.1251983642578,56.06315231323242,90.93705749511719,178.63626098632812,112.2890853881836,109.80548095703125,76.07975769042969,41.0099983215332,160.08999633789062,16.329999923706055,239.3189239501953,585.8800048828125,131.22000122070312
2022-02-28,164.87774658203125,298.095703125,134.15162658691406,17.25,101.48045349121094,473.7183532714844,69.11205291748047,137.4187774658203,51.17988204956055,92.98115539550781,170.60205078125,119.70501708984375,104.30587005615234,68.27466583251953,43.279998779296875,165.11000061035156,15.920000076293945,218.33999633789062,587.4400024414062,142.0800018310547
2022-03-31,174.3538360595703,307.59356689453125,148.38064575195312,18.25,108.0199966430664,480.1794738769531,71.4297103881836,132.5553741455078,59.076663970947266,93.55999755859375,178.1999969482422,113.62472534179688,115.7467041015625,63.60554504394531,45.31999969482422,166.1999969482422,16.709999084472656,237.10000610351562,629.6799926757812,160.14999389648438
2022-04-29,157.418701171875,276.8751220703125,152.4359130859375,18.770000457763672,103.51000213623047,418.75,69.5596694946289,112.68400573730469,55.310001373291016,93.63999938964844,157.3699951171875,97.83190155029297,117.82865142822266,58.43000030517578,38.709999084472656,156.88999938964844,15.40999984741211,203.52000427246094,554.3900146484375,162.4499969482422
2022-05-31,148.83999633789062,271.8699951171875,128.6300048828125,17.8700008392334,104.5,414.4599914550781,72.51000213623047,108.87000274658203,53.560001373291016,94.8499984741211,155.25999450683594,90.1500015258789,120.31999969482422,60.119998931884766,34.959999084472656,143.49000549316406,15.600000381469727,202.5800018310547,580.1300048828125,160.3300018310547
